ID,Random#,Case,Account,Date,Date,Date,Time,retweets,likes,Picutre,Code #,content,unk,directed,hashtag,geocode,source,,,,
,,,,,,,,,,,,pic.twitter.com/jfdksfoned
,0.3786171465,47212,PhotogEricP,,9/4/17,9/4/2017 0:00,10:57:00 PM,0,0,,,Avoid this area in BoyntonBeach. @WPTV will have more on wptv and http:// wptv.com https:// twitter.com/bbpd/status/90 4900930558197760 â€¦,,@WPTV,,9.05E+17,https://twitter.com/PhotogEricP/status/904901188935700480,,,,
,0.8660103137,02088,10NewsWTSP,,9/3/17,9/3/2017 0:00,9:05:00 PM,2,2,,,FSU Francois suffers season-ending patella tendon injury http:// on.wtsp.com/2eAFtDM pic.twitter.com/Y2cwzM7nBd,,,,9.05E+17,https://twitter.com/10NewsWTSP/status/904510603112407042,,,,
,0.854752878,22754,FOX13News,,9/13/17,9/13/2017 0:00,6:44:00 PM,7,10,,,DESOTO ALERT: DeSoto Emergency Mgmt urgent message: State Road 31 is under water and not passable. Use I-75 to get to Ft. Myers instead.,,,,9.08E+17,https://twitter.com/FOX13News/status/908099025114673152,,,,
,0.7444278574,05627,AngryTomRiddle,,9/10/17,9/10/2017 0:00,1:24:00 PM,0,0,,,...but I am confident when I switch back in an hour you'll be right there repeating the same stories I have already heard. #Emmy !!!!!,,,#Emmy,9.07E+17,https://twitter.com/AngryTomRiddle/status/906931419221561344,,,,
,0.1386393516,11057,CBS12,,9/29/17,9/29/2017 0:00,9:20:00 AM,0,0,,,"Chattanooga mother loses both eyes in gruesome attack, father charged. http:// bit.ly/2k8gLMN pic.twitter.com/dtXRHdFIfc",,,,9.14E+17,https://twitter.com/CBS12/status/913755244005388288,,,,
,0.8607582315,31692,Juanitawright67,,9/24/17,9/24/2017 0:00,10:03:00 AM,0,0,,,You complain about Obama playing golf all the time but it seem like you're playing more golf than he ever did. complaining to much,,,,9.12E+17,https://twitter.com/Juanitawright67/status/911954210299801603,,,,
,0.7593220341,40105,michael514514,,9/7/17,9/7/2017 0:00,3:38:00 PM,0,1,,,. @wsvn on #Periscope : Track Hurricane Irma with our live weather feed. #HurricaneIrma #GoLive #PeriscopeTV https://www. pscp.tv/w/bIBF-zFheWpW dkJ5WnFOanB8MXlOeGFtWHBXWXJ4ajSHvunbSSSWS3IeFxix1ytFEwq6S2lxz7FSYQQpz_V1 â€¦,,@wsvn,#Periscope #HurricaneIrma #GoLive #PeriscopeTV,9.06E+17,https://twitter.com/michael514514/status/905877858521935873,,,,
,0.7352626784,55751,SweetBroo,,9/15/17,9/15/2017 0:00,5:29:00 PM,0,0,,,Just wait til I'm in there lol. Btw doesnt the Spanish cop in the middle look like Michael PeÃ±a from End of Watch!?!,,,,9.09E+17,https://twitter.com/SweetBroo/status/908805101741133825,,,,
,0.9789029268,11453,CBS12,,9/21/17,9/21/2017 0:00,3:18:00 PM,3,0,,,"Video shows childcare workers taunting, harassing autistic child. http:// bit.ly/2xywzh0 pic.twitter.com/i88tgcDMjB",,,,9.11E+17,https://twitter.com/CBS12/status/910946461290033152,,,,
,0.1079701574,65792,wsvn,,9/18/17,9/18/2017 0:00,1:10:00 PM,32,41,,,Study says grandparents who babysit grandkids may live longer http:// wsvn.com/news/us-world/ study-says-grandparents-who-babysit-grandkids-may-live-longer/ â€¦ pic.twitter.com/VLWZJXcnnL,,,,9.10E+17,https://twitter.com/wsvn/status/909826921453715464,,,,
