Topic,Tweets,Date,Number,Permalink
storm hit just fpl tropical cat days lost went did
,"We lost power well before the storm even entered our area. Goes to show you, how little your company prepared for this storm. Thanks.",2017-09-12,1,https://twitter.com/WTFbone/status/907763445893931008
,"This is next to a hospital. Once pwr out and no generator-there ""should"" have been an evacuation after storm subsided. Criminal charges????",2017-09-14,1,https://twitter.com/LydiaHluvsdogs/status/908319572708794368
,"Ummm I saw the News the storm missed Saint Pete, Pinellas County, We were on the weak side of the storm as well.",2017-09-12,1,https://twitter.com/Christo48734153/status/907692211264991233
, We are a contractor in Detroit that works with  for storm restoration. How can we help you? We have training and equip,2017-09-08,1,https://twitter.com/domneu/status/906211834730078211
,And there's another storm out there that's tracked this way what will duke do then lmfao,2017-09-16,1,https://twitter.com/DeezNut59104333/status/909207150127403009
,What a load of crap. Get the hell off the stage and go out and do something. No one cares about this drivel. We know how bad the storm was.,2017-09-12,1,https://twitter.com/BenSnow57/status/907751132881178627
,#HurricaneMaria slams #Caribbean as ‘potentially catastrophic’ Category 5 storm  youtu.be/C54jElNqvh8   .,2017-09-19,1,https://twitter.com/MONTANANBALLER/status/910160028295819264
,Your website HAS NOT been updated at all since the storm,2017-09-12,1,https://twitter.com/ItsStaci/status/907649391649083393
,How can we go through the whole storm without losing power and then it's sunny and all of a sudden it goes out!? ,2017-09-11,1,https://twitter.com/HannahNewgren/status/907250347126743042
,From tropical storm force winds in 305/954,2017-09-13,1,https://twitter.com/wideslapper/status/907958475803815936
,You know there's another storm out there right?,2017-09-17,1,https://twitter.com/johncc2014/status/909484325556641794
, 6 days after the storm am I still do not see Duke anywhere I have yet to see one of your trucks. Wth,2017-09-14,1,https://twitter.com/j082298/status/908375089657384960
,"They said to get the reading done again, ""storm messed them up"" because ours was like 500 when it's normally 120.",2017-09-20,1,https://twitter.com/SarahAshley423/status/910623275801350145
, how come I lost power AFTER the storm?!?,2017-09-11,1,https://twitter.com/AKARicoSmooth/status/907254915059392514
,"That is a week after the storm, really!!!!!",2017-09-12,1,https://twitter.com/marceelsmith/status/907750810448261120
,That really is.. it's been a full week since the damn storm,2017-09-17,1,https://twitter.com/Caint_Truss_Em/status/909577544797736960
,Way to be prepared for the storm!!!,2017-09-10,1,https://twitter.com/kncroom/status/907085351797379072
,"So, a whole week without power. Great! It's a storm that missed Miami caused this, imagine a storm with a direct hit.",2017-09-13,1,https://twitter.com/yosoysterling9/status/908021691321929730
,"Really not the time to try for cute storm puns, bruh.",2017-09-14,1,https://twitter.com/hardknocksmom/status/908309251403210752
,I thought they said they were waiving overage fees this week with the storm.,2017-09-13,1,https://twitter.com/TriciaMathison/status/908075659326640135
,Can't keep power on in tropical storm winds?,2017-09-11,1,https://twitter.com/nbafan641/status/907244302144823296
,Retweeted Robert Fortner (  ):  Got no patience for you FPL. Nothing but trop storm winds...  fb.me/C13ZBehf,2017-09-18,1,https://twitter.com/mahilena/status/909854138044866560
,Find out how to survive during a storm with the NEW Storm Center Brevard Hurricane Guide.   bit.ly/2wfixxr,2017-09-25,1,https://twitter.com/NASHFM1027WHKR/status/912421465299066880
,Find out how to survive during a storm with the NEW Storm Center Brevard Hurricane Guide.   bit.ly/2xCGwdm,2017-09-25,1,https://twitter.com/1071A1A/status/912406353188151296
,"Jorge, this has been a mediocore storm. Please be prepared that our butt scratching & magazine page turning may take long than usual.",2017-09-12,1,https://twitter.com/phanningjadem/status/907599182453727232
,How people power goin out and no storm is really here yet? ,2017-09-09,1,https://twitter.com/D_Money_52/status/906614492980760577
, lost power at 8 last night before the storm even hit. Colonial Grand at Randal Lakes.,2017-09-11,1,https://twitter.com/LWOS_Zach/status/907246931734384641
,So that small storm knocked out more power?? Why are you so weak?? Can I switch providers now??,2017-09-15,1,https://twitter.com/Christo48734153/status/908901966834741248
, please when this storm is over this needs to be replace it's going to fall ,2017-09-09,1,https://twitter.com/ThatGirl2US/status/906669650997628929
,.  has officially restored all power outages from the storm!,2017-09-19,1,https://twitter.com/CWCGainesville/status/910222066330296322
,Our power went out again last night with the storm that rolled thru here… . ,2017-09-24,1,https://twitter.com/UK88TL/status/911984619746152448
,Quick summer storm. Lock step dim wits. Get the power handled!,2017-09-15,1,https://twitter.com/AllDayINC123/status/908836013581225984
,I have no power and it's calm the storm hasn't even hit,2017-09-09,1,https://twitter.com/MikeF305/status/906562381484056583
,"The storm was a week ago  , where you at though? ",2017-09-18,1,https://twitter.com/MellyOnTheBeat/status/909925557458042880
,That is assuming there is not another storm in another state before Sunday that knocks us down the list further. PRAY!!,2017-09-13,1,https://twitter.com/xolcious/status/908067516873940992
,"Same here, power turned off when the storm died down",2017-09-12,1,https://twitter.com/Christo48734153/status/907792954693242890
, An xtra trash pickup in advance of #HurricaneIrma fri-sat would save  some post storm filth & health concerns,2017-09-07,1,https://twitter.com/GregCreese/status/905971085375668225
, There's a lift station without power on Rosemary Court in Naples. Sharing bc no one has been thru here since the storm.,2017-09-17,1,https://twitter.com/michellemv/status/909411326669279233
, fix jungle terrace our power was out way before storm hit,2017-09-17,1,https://twitter.com/woman_on_a_rant/status/909357263160315904
,My power was out before the storm even got here!!! Coming up on 24hrs,2017-09-11,1,https://twitter.com/Kneesee312/status/907284905469628416
,"Retweeted FPL (  ): During the storm and the time after, we will be posting updates here and on Facebook,...  fb.me/31g87dRn0",2017-09-08,1,https://twitter.com/TreasureC_com/status/906282295170146310
,How did some lose power before the storm even hit Cuba? Weird ,2017-09-12,1,https://twitter.com/_iamroberto/status/907506606950232065
,shout out to  for keeping my power on through the storm,2017-09-11,1,https://twitter.com/Ramos_Antonio_/status/907284007913758720
