username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
NHC_Atlantic|2017-09-22 16:36:03|58|56|Tropical Depression #Lee  Advisory 18: Lee Regenerates Over the Central Atlantic Ocean. No Threat to Land.  http://go.usa.gov/W3H  |Tropical Depression #Lee  Advisory 18: Lee Regenerates Over the Central Atlantic Ocean. No Threat to Land.    |false|911328260004487173|/NHC_Atlantic/status/911328260004487173|Tropical Depression #Lee  Advisory 18: Lee Regenerates Over the Central Atlantic Ocean. No Threat to Land.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-02 10:54:02|110|95|Hurricane #Irma  Advisory 13: Irma Moving Westward Across the Atlantic as a Small Hurricane.  http://go.usa.gov/W3H  |Hurricane #Irma  Advisory 13: Irma Moving Westward Across the Atlantic as a Small Hurricane.    |false|903994432923607041|/NHC_Atlantic/status/903994432923607041|Hurricane #Irma  Advisory 13: Irma Moving Westward Across the Atlantic as a Small Hurricane.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-09 17:37:30|874|510|There is an imminent danger of life-threatening storm surge__NEWLINE__flooding in portions of central and southern Florida, including the__NEWLINE__Keys pic.twitter.com/CN7qcqElJL|There is an imminent danger of life-threatening storm surge__NEWLINE__flooding in portions of central and southern Florida, including the__NEWLINE__Keys |false|906632682188234759|/NHC_Atlantic/status/906632682188234759|There is an imminent danger of life-threatening storm surge__NEWLINE__flooding in portions of central and southern Florida, including the__NEWLINE__Keys pic.twitter.com/CN7qcqElJL||||
NHC_Atlantic|2017-09-18 20:02:03|1183|572|Hurricane #Maria  Advisory 11: Maria Becomes a Potentially Catastrophic Category 5 Hurricane.  http://go.usa.gov/W3H  |Hurricane #Maria  Advisory 11: Maria Becomes a Potentially Catastrophic Category 5 Hurricane.    |false|909930548109496320|/NHC_Atlantic/status/909930548109496320|Hurricane #Maria  Advisory 11: Maria Becomes a Potentially Catastrophic Category 5 Hurricane.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-08 19:46:02|194|132|Hurricane #Katia  Advisory 13A: Air Force Plane En Route to Katia. Dangerous Storm Surge Expected in Mexico.  http://go.usa.gov/W3H  |Hurricane #Katia  Advisory 13A: Air Force Plane En Route to Katia. Dangerous Storm Surge Expected in Mexico.    |false|906302641948504064|/NHC_Atlantic/status/906302641948504064|Hurricane #Katia  Advisory 13A: Air Force Plane En Route to Katia. Dangerous Storm Surge Expected in Mexico.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-05 11:19:28|950|1227|# Irma  key messages for Advisory 26. #Hurricane  preparations should be rushed to completion in the NE Caribbean.  http://hurricanes.gov   pic.twitter.com/3OSkumDsdV|# Irma  key messages for Advisory 26. #Hurricane  preparations should be rushed to completion in the NE Caribbean.     |false|905087993425383426|/NHC_Atlantic/status/905087993425383426|# Irma  key messages for Advisory 26. #Hurricane  preparations should be rushed to completion in the NE Caribbean.  http://hurricanes.gov   pic.twitter.com/3OSkumDsdV||||
NHC_Atlantic|2017-09-08 05:00:09|537|293|Here are the 5 AM EDT Key Messages for #Irma   http://hurricanes.gov   pic.twitter.com/pGNthaZ4hr|Here are the 5 AM EDT Key Messages for #Irma      |false|906079701734707201|/NHC_Atlantic/status/906079701734707201|Here are the 5 AM EDT Key Messages for #Irma   http://hurricanes.gov   pic.twitter.com/pGNthaZ4hr|5 AM EDT Key|||
NHC_Atlantic|2017-11-06 21:34:03|109|112|Tropical Storm #Rina  Advisory 4: Depression Becomes Tropical Storm Rina.  http://go.usa.gov/W3H  |Tropical Storm #Rina  Advisory 4: Depression Becomes Tropical Storm Rina.    |false|927725808315232256|/NHC_Atlantic/status/927725808315232256|Tropical Storm #Rina  Advisory 4: Depression Becomes Tropical Storm Rina.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-09-10 07:50:03|128|133|Hurricane #Jose  Advisory 20A: Jose Passing Well North of Puerto Rico This Morning.  http://go.usa.gov/W3H  |Hurricane #Jose  Advisory 20A: Jose Passing Well North of Puerto Rico This Morning.    |false|906847232456056832|/NHC_Atlantic/status/906847232456056832|Hurricane #Jose  Advisory 20A: Jose Passing Well North of Puerto Rico This Morning.  http://go.usa.gov/W3H  ||||
NHC_Atlantic|2017-10-07 16:52:03|208|123|Hurricane #Nate  Advisory 14: Center of Nate Approaching the Mouth of the Mississippi River.  http://go.usa.gov/W3H  |Hurricane #Nate  Advisory 14: Center of Nate Approaching the Mouth of the Mississippi River.    |false|916768103366881280|/NHC_Atlantic/status/916768103366881280|Hurricane #Nate  Advisory 14: Center of Nate Approaching the Mouth of the Mississippi River.  http://go.usa.gov/W3H  ||||
